year,month,cycle,gdpgr_yearly,bruto,refer,fix;;;;;;;;;;;;
2007,3,2,12,660,1,;;;;;;;;;;;;
2007,4,4,9,738,1,;;;;;;;;;;;;
2007,5,6,9,738,1,;;;;;;;;;;;;
2007,6,8,9,738,1,;;;;;;;;;;;;
2007,7,10,7,697,1,;;;;;;;;;;;;
2007,8,12,7,697,1,;;;;;;;;;;;;
2007,9,14,7,697,1,;;;;;;;;;;;;
2007,10,16,4,784,1,;;;;;;;;;;;;
2007,11,18,4,784,1,;;;;;;;;;;;;
2007,12,20,4,784,1,;;;;;;;;;;;;
2008,1,22,-3,788,1,;;;;;;;;;;;;
2008,2,24,-3,788,1,;;;;;;;;;;;;
2008,3,27,-3,788,1,;;;;;;;;;;;;
2008,4,29,-2,850,1,;;;;;;;;;;;;
2008,5,31,-2,850,1,;;;;;;;;;;;;
2008,6,33,-2,850,1,;;;;;;;;;;;;
2008,7,35,-3,800,1,;;;;;;;;;;;;
2008,8,37,-3,800,1,;;;;;;;;;;;;
2008,9,39,-3,800,1,;;;;;;;;;;;;
2008,10,41,-14,838,1,;;;;;;;;;;;;
2008,11,43,-14,838,1,;;;;;;;;;;;;
2008,12,45,-14,838,1,;;;;;;;;;;;;
2009,1,47,-14,776,1,;;;;;;;;;;;;
2009,2,49,-14,776,1,;;;;;;;;;;;;
2009,3,51,-14,776,1,;;;;;;;;;;;;
2009,4,53,-18,813,1,;;;;;;;;;;;;
2009,5,55,-18,813,1,;;;;;;;;;;;;
2009,6,57,-18,813,1,;;;;;;;;;;;;
2009,7,59,-18,752,1,;;;;;;;;;;;;
2009,8,61,-18,752,1,;;;;;;;;;;;;
2009,9,63,-18,752,1,;;;;;;;;;;;;
2009,10,65,-8,783,1,;;;;;;;;;;;;
2009,11,67,-8,783,1,;;;;;;;;;;;;
2009,12,69,-8,783,1,;;;;;;;;;;;;
2010,1,71,-4,758,1,;;;;;;;;;;;;
2010,2,73,-4,758,1,;;;;;;;;;;;;
2010,3,76,-4,758,1,;;;;;;;;;;;;
2010,4,78,1,822,1,;;;;;;;;;;;;
2010,5,80,1,822,1,;;;;;;;;;;;;
2010,6,82,1,822,1,;;;;;;;;;;;;
2010,7,84,5,759,1,;;;;;;;;;;;;
2010,8,86,5,759,1,;;;;;;;;;;;;
2010,9,88,5,759,1,;;;;;;;;;;;;
2010,10,90,8,814,1,;;;;;;;;;;;;
2010,11,92,8,814,1,;;;;;;;;;;;;
2010,12,94,8,814,1,;;;;;;;;;;;;
2011,1,96,9,792,1,;;;;;;;;;;;;
2011,2,98,9,792,1,;;;;;;;;;;;;
2011,3,100,9,792,1,;;;;;;;;;;;;
2011,4,2,8,857,1,;;;;;;;;;;;;
2011,5,4,8,857,1,;;;;;;;;;;;;
2011,6,6,8,857,1,;;;;;;;;;;;;
2011,7,8,9,809,1,;;;;;;;;;;;;
2011,8,10,9,809,1,;;;;;;;;;;;;
2011,9,12,9,809,1,;;;;;;;;;;;;
2011,10,14,7,865,1,;;;;;;;;;;;;
2011,11,16,7,865,1,;;;;;;;;;;;;
2011,12,18,7,865,1,;;;;;;;;;;;;
2012,1,20,6,847,1,;;;;;;;;;;;;
2012,2,22,6,847,1,;;;;;;;;;;;;
2012,3,24,6,847,1,;;;;;;;;;;;;
2012,4,27,5,900,1,;;;;;;;;;;;;
2012,5,29,5,900,1,;;;;;;;;;;;;
2012,6,31,5,900,1,;;;;;;;;;;;;
2012,7,33,4,855,1,;;;;;;;;;;;;
2012,8,35,4,855,1,;;;;;;;;;;;;
2012,9,37,4,855,1,;;;;;;;;;;;;
2012,10,39,4,916,1,;;;;;;;;;;;;
2012,11,41,4,916,1,;;;;;;;;;;;;
2012,12,43,4,916,1,;;;;;;;;;;;;
2013,1,45,4,900,1,;;;;;;;;;;;;
2013,2,47,4,900,1,;;;;;;;;;;;;
2013,3,49,4,900,1,;;;;;;;;;;;;
2013,4,51,1,976,1,;;;;;;;;;;;;
2013,5,53,1,976,1,;;;;;;;;;;;;
2013,6,55,1,976,1,;;;;;;;;;;;;
2013,7,57,1,930,1,;;;;;;;;;;;;
2013,8,59,1,930,1,;;;;;;;;;;;;
2013,9,61,1,930,1,;;;;;;;;;;;;
2013,10,63,2,986,1,;;;;;;;;;;;;
2013,11,65,2,986,1,;;;;;;;;;;;;
2013,12,67,2,986,1,;;;;;;;;;;;;
2014,1,69,1,966,1,;;;;;;;;;;;;
2014,2,71,1,966,1,;;;;;;;;;;;;
2014,3,73,1,966,1,;;;;;;;;;;;;
2014,4,76,2,1023,1,;;;;;;;;;;;;
2014,5,78,2,1023,1,;;;;;;;;;;;;
2014,6,80,2,1023,1,;;;;;;;;;;;;
2014,7,82,2,977,1,;;;;;;;;;;;;
2014,8,84,2,977,1,;;;;;;;;;;;;
2014,9,86,2,977,1,;;;;;;;;;;;;
2014,10,88,3,,1,;;;;;;;;;;;;
2014,11,90,3,,1,;;;;;;;;;;;;