party,support,last,year,month,gov,month_cycle,cycle_constant,cycle,inflats_m_basevalue,inflats_m,unemp,gdpgr,gdpgr_yearly,skp_yearly,support_lag1,bruto,bruto_yearly,inflats_prevyear_base,alko_suits_base,alko_suits_prevyear,eluase_base,eluase_prevyear,erakond,kuu,partynr,news,newspercent
ref,.36,.278,2007,3,1,1,49,.0204081632653061,108.49,1.071362027203278,5.3,3.7,11.6,10.5,.27,659.67431,20.14447658196067,102.71,106.77,102.1,121.69,106.1,ref,2007m3,1,,
ref,.34,.278,2007,4,1,2,49,.0408163265306122,109.26,.7097428334408704,4.9,.2,9.199999999999999,9.4,.36,738.0849500000001,21.16607081873606,103.44,107.11,102.63,121.75,106.84,ref,2007m4,1,,
ref,.45,.278,2007,5,1,3,49,.0612244897959184,110.14,.8054182683507207,4.9,.2,9.199999999999999,9.4,.34,738.0849500000001,21.16607081873606,104,107.54,102.98,122.57,107.48,ref,2007m5,1,,
ref,.43,.278,2007,6,1,4,49,.0816326530612245,110.75,.5538405665516564,4.9,.2,9.199999999999999,9.4,.45,738.0849500000001,21.16607081873606,104.48,107.59,103.18,122.92,109.06,ref,2007m6,1,,
ref,.43,.278,2007,7,1,5,49,.1020408163265306,111.81,.9571106094808073,4.1,.6,6.9,6.8,.43,696.56091,20.18395595630243,104.94,108.28,104.13,128.49,109.97,ref,2007m7,1,,
ref,.44,.278,2007,8,1,6,49,.1224489795918367,112.19,.3398622663446815,4.1,.6,6.9,6.8,.43,696.56091,20.18395595630243,105.7,108.3,104.21,131.21,112.14,ref,2007m8,1,,
ref,.42,.278,2007,9,1,7,49,.1428571428571429,113.37,1.051787146804543,4.1,.6,6.9,6.8,.44,696.56091,20.18395595630243,105.45,108.97,105,131.69,112.97,ref,2007m9,1,,
ref,.39,.278,2007,10,1,8,49,.163265306122449,114.54,1.032019052659436,4.1,-.3,4.2,5.3,.42,784.17931,20.14986279311184,105.34,109.02,104.97,133.11,115.68,ref,2007m10,1,,
ref,.39,.278,2007,11,1,9,49,.1836734693877551,115.98,1.25720272393923,4.1,-.3,4.2,5.3,.39,784.17931,20.14986279311184,106.15,109.39,104.99,133.65,117.24,ref,2007m11,1,,
ref,.39,.278,2007,12,1,10,49,.2040816326530612,116.82,.7242628039316941,4.1,-.3,4.2,5.3,.39,784.17931,20.14986279311184,106.45,109.52,104.69,135.39,117.89,ref,2007m12,1,,
ref,.35,.278,2008,1,1,11,49,.2244897959183674,119.26,2.088683444615654,4.1,-3.2,-2.8,-4.7,.39,788.47162,19.52437862859931,107.18,114.4,105.02,140.44,120.6,ref,2008m1,1,,
ref,.35,.278,2008,2,1,12,49,.2448979591836735,119.7,.3689418078148634,4.1,-3.2,-2.8,-4.7,.35,788.47162,19.52437862859931,107.34,115.26,105.25,140.72,121.46,ref,2008m2,1,,
ref,.3,.278,2008,3,1,13,49,.2653061224489796,120.68,.8187134502924067,4.1,-3.2,-2.8,-4.7,.35,788.47162,19.52437862859931,108.49,115.37,106.77,140.64,121.69,ref,2008m3,1,,
ref,.34,.278,2008,4,1,14,49,.2857142857142857,121.91,1.019224395094454,4,1.3,-1.7,-2.1,.3,850.40456,15.2177076635962,109.26,116.39,107.11,143.95,121.75,ref,2008m4,1,,
ref,.33,.278,2008,5,1,15,49,.3061224489795918,122.65,.6070051677467063,4,1.3,-1.7,-2.1,.34,850.40456,15.2177076635962,110.14,116.43,107.54,144.42,122.57,ref,2008m5,1,,
ref,.33,.278,2008,6,1,16,49,.3265306122448979,123.45,.6522625356706158,4,1.3,-1.7,-2.1,.33,850.40456,15.2177076635962,110.75,116.86,107.59,145.48,122.92,ref,2008m6,1,,
ref,.3,.278,2008,7,1,17,49,.3469387755102041,124.34,.7209396516808511,6.2,-1.1,-3.3,-2.6,.33,799.65296,14.80014863308938,111.81,122.7,108.28,147.62,128.49,ref,2008m7,1,,
ref,.36,.278,2008,8,1,18,49,.3673469387755102,124.66,.2573588547530932,6.2,-1.1,-3.3,-2.6,.3,799.65296,14.80014863308938,112.19,129.01,108.3,148.12,131.21,ref,2008m8,1,,
ref,.34,.278,2008,9,1,19,49,.3877551020408163,125.62,.7700946574683059,6.2,-1.1,-3.3,-2.6,.36,799.65296,14.80014863308938,113.37,138,108.97,148.21,131.69,ref,2008m9,1,,
ref,.29,.278,2008,10,1,20,49,.4081632653061225,126.08,.3661837287056073,7.4,-10.8,-13.5,-11.7,.34,838.30225,6.901857688645208,114.54,137.6,109.02,157.99,133.11,ref,2008m10,1,,
ref,.31,.278,2008,11,1,21,49,.4285714285714286,125.81,-.2141497461928879,7.4,-10.8,-13.5,-11.7,.29,838.30225,6.901857688645208,115.98,138.81,109.39,160.22,133.65,ref,2008m11,1,,
ref,.29,.278,2008,12,1,22,49,.4489795918367347,125.61,-.1589698752086406,7.4,-10.8,-13.5,-11.7,.31,838.30225,6.901857688645208,116.82,138.53,109.52,159.94,135.39,ref,2008m12,1,,
ref,.3,.278,2009,1,1,23,49,.4693877551020408,124.85,-.6050473688400615,11.2,-3.7,-13.9,-12.4,.29,776.34886,-1.5,119.26,138.78,114.4,160.45,140.44,ref,2009m1,1,,
ref,.28,.278,2009,2,1,24,49,.4897959183673469,124.33,-.4164997997597055,11.2,-3.7,-13.9,-12.4,.3,776.34886,-1.5,119.7,138.77,115.26,156.42,140.72,ref,2009m2,1,,
ref,.33,.278,2009,3,1,25,49,.5102040816326531,123.75,-.4665004423711139,11.2,-3.7,-13.9,-12.4,.28,776.34886,-1.5,120.68,138.29,115.37,151.96,140.64,ref,2009m3,1,,
ref,.26,.278,2009,4,1,26,49,.5306122448979592,123.01,-.5979797979798036,13.2,-3,-17.5,-17.2,.33,812.73184,-4.4,121.91,138.31,116.39,148.29,143.95,ref,2009m4,1,,
ref,.25,.278,2009,5,1,27,49,.5510204081632653,123.05,.0325176814893098,13.2,-3,-17.5,-17.2,.26,812.73184,-4.4,122.65,137.98,116.43,146.33,144.42,ref,2009m5,1,,
ref,.25,.278,2009,6,1,28,49,.5714285714285714,122.81,-.1950426655830881,13.2,-3,-17.5,-17.2,.25,812.73184,-4.4,123.45,136.58,116.86,146.23,145.48,ref,2009m6,1,,
ref,.21,.278,2009,7,1,29,49,.5918367346938775,123.85,.8468365768259787,14.4,-2.2,-18.4,-19.3,.25,752.22668,-5.9,124.34,138.55,122.7,149.19,147.62,ref,2009m7,1,,
ref,.28,.278,2009,8,1,30,49,.6122448979591837,123.74,-.088817117480815,14.4,-2.2,-18.4,-19.3,.21,752.22668,-5.9,124.66,137.89,129.01,149.15,148.12,ref,2009m8,1,,
ref,.28,.278,2009,9,1,31,49,.6326530612244898,123.52,-.1777921448197759,14.4,-2.2,-18.4,-19.3,.28,752.22668,-5.9,125.62,137.13,138,149.75,148.21,ref,2009m9,1,,
ref,.31,.278,2009,10,1,32,49,.6530612244897959,123.42,-.0809585492227995,15.5,.1,-8.4,-9.5,.28,783.49865,-6.5,126.08,138.96,137.6,149.53,157.99,ref,2009m10,1,,
ref,.28,.278,2009,11,1,33,49,.673469387755102,123.11,-.251174850105329,15.5,.1,-8.4,-9.5,.31,783.49865,-6.5,125.81,139.17,138.81,148.97,160.22,ref,2009m11,1,,
ref,.3,.278,2009,12,1,34,49,.6938775510204082,123.26,.1218422548940055,15.5,.1,-8.4,-9.5,.28,783.49865,-6.5,125.61,138.78,138.53,148.6,159.94,ref,2009m12,1,,
ref,.35,.278,2010,1,1,35,49,.7142857142857143,123.61,.2839526204770522,19.5,1.2,-3.8,-3.3,.3,758.31171,-2.3,124.85,141.18,138.78,150.26,160.45,ref,2010m1,1,512,25,0489236790607
ref,.31,.278,2010,2,1,36,49,.7346938775510205,123.93,.2588787314942209,19.5,1.2,-3.8,-3.3,.35,758.31171,-2.3,124.33,141.21,138.77,150.46,156.42,ref,2010m2,1,476,23,2876712328767
ref,.35,.278,2010,3,1,37,49,.7551020408163265,125.46,1.234567901234556,19.5,1.2,-3.8,-3.3,.31,758.31171,-2.3,123.75,141.32,138.29,152.36,151.96,ref,2010m3,1,689,33,7084148727984
ref,.32,.278,2010,4,1,38,49,.7755102040816326,126.09,.5021520803443451,18.3,2.2,1.3,1.8,.35,822.47901,1.2,123.01,142.8,138.31,152.98,148.29,ref,2010m4,1,411,20,1076320939335
ref,.34,.278,2010,5,1,39,49,.7959183673469388,126.45,.2855103497501688,18.3,2.2,1.3,1.8,.32,822.47901,1.2,123.05,142.29,137.98,154.24,146.33,ref,2010m5,1,499,24,412915851272
ref,.35,.278,2010,6,1,40,49,.8163265306122449,126.95,.3954132068010949,18.3,2.2,1.3,1.8,.34,822.47901,1.2,122.81,142.92,136.58,155.23,146.23,ref,2010m6,1,558,27,2994129158513
ref,.37,.278,2010,7,1,41,49,.8367346938775511,127.26,.2441906262308038,15.4,1.5,5.1,5,.35,758.8869099999999,.9,123.85,143.97,138.55,155.54,149.19,ref,2010m7,1,343,16,7808219178082
ref,.39,.278,2010,8,1,42,49,.8571428571428571,127.22,-.031431714600032,15.4,1.5,5.1,5,.37,758.8869099999999,.9,123.74,145.03,137.89,156.54,149.15,ref,2010m8,1,416,20,3522504892368
ref,.38,.278,2010,9,1,43,49,.8775510204081632,128.21,.7781795315202231,15.4,1.5,5.1,5,.39,758.8869099999999,.9,123.52,148.39,137.13,157.75,149.75,ref,2010m9,1,649,31,7514677103718
ref,.41,.278,2010,10,1,44,49,.8979591836734694,128.92,.5537789563996256,13.6,2.5,7.7,6.3,.38,813.91484,3.9,123.42,149.26,138.96,157.38,149.53,ref,2010m10,1,704,34,4422700587084
ref,.43,.278,2010,11,1,45,49,.9183673469387755,129.32,.3102699348433049,13.6,2.5,7.7,6.3,.41,813.91484,3.9,123.11,148.74,139.17,158.14,148.97,ref,2010m11,1,920,45,0097847358121
ref,.36,.278,2010,12,1,46,49,.9387755102040817,129.94,.4794308691617744,13.6,2.5,7.7,6.3,.43,813.91484,3.9,123.26,148.33,138.78,158.93,148.6,ref,2010m12,1,753,36,839530332681
ref,.36,.278,2011,1,1,47,49,.9591836734693877,129.91,-.0230875788825671,14.3,2.4,9,9,.36,792.34,4.5,123.61,148.56,141.18,157.85,150.26,ref,2011m1,1,1015,49,6575342465753
ref,.28,.278,2011,2,1,48,49,.9795918367346939,130.78,.6696944038180277,14.3,2.4,9,9,.36,792.34,4.5,123.93,148.97,141.21,158.1,150.46,ref,2011m2,1,1035,50,6360078277887
ref,.31,.286,2011,4,1,1,49,.0204081632653061,132.9,.8040048543689409,13,1.7,8.4,8.1,,857.0700000000001,4.2,126.09,153.62,142.8,159.27,152.98,ref,2011m4,1,1658,81,1154598825832
ref,.33,.286,2011,5,1,2,49,.0408163265306122,133.42,.3912716328066068,13,1.7,8.4,8.1,.31,857.0700000000001,4.2,126.45,154.65,142.29,160.65,154.24,ref,2011m5,1,667,32,6320939334638
ref,.33,.286,2011,6,1,3,49,.0612244897959184,133.22,-.1499025633338249,13,1.7,8.4,8.1,.33,857.0700000000001,4.2,126.95,154.17,142.92,162.55,155.23,ref,2011m6,1,520,25,440313111546
ref,.31,.286,2011,7,1,4,49,.0816326530612245,133.96,.5554721513286296,10.7,2,8.800000000000001,9.9,.33,808.85,6.6,127.26,156.54,143.97,163.7,155.54,ref,2011m7,1,629,30,7729941291585
ref,.29,.286,2011,8,1,5,49,.1020408163265306,134.33,.2762018512989073,10.7,2,8.800000000000001,9.9,.31,808.85,6.6,127.22,155.05,145.03,168.27,156.54,ref,2011m8,1,415,20,3033268101761
ref,.31,.286,2011,9,1,6,49,.1224489795918367,135.08,.5583265093426633,10.7,2,8.800000000000001,9.9,.29,808.85,6.6,128.21,155.84,148.39,169.61,157.75,ref,2011m9,1,556,27,2015655577299
ref,.32,.286,2011,10,1,7,49,.1428571428571429,134.97,-.0814332247557132,11.3,.7,6.9,6.2,.31,865.15,6.3,128.92,155.53,149.26,171.38,157.38,ref,2011m10,1,547,26,761252446184
ref,.31,.286,2011,11,1,8,49,.163265306122449,135.07,.0740905386382025,11.3,.7,6.9,6.2,.32,865.15,6.3,129.32,155.82,148.74,171.3,158.14,ref,2011m11,1,577,28,2289628180039
ref,.33,.286,2011,12,1,9,49,.1836734693877551,135.26,.140667801880511,11.3,.7,6.9,6.2,.31,865.15,6.3,129.94,153.58,148.33,171.29,158.93,ref,2011m12,1,456,22,3091976516634
ref,.3,.286,2012,1,1,10,49,.2040816326530612,136.01,.5544876534082448,11.3,1.1,5.6,5.8,.33,846.76,6.9,129.91,154.89,148.56,175.18,157.85,ref,2012m1,1,538,26,320939334638
ref,.28,.286,2012,2,1,11,49,.2244897959183674,136.58,.4190868318506063,11.3,1.1,5.6,5.8,.3,846.76,6.9,130.78,158.3,148.97,175.25,158.1,ref,2012m2,1,520,25,440313111546
ref,.29,.286,2012,3,1,12,49,.2448979591836735,137.99,1.032361985649445,11.3,1.1,5.6,5.8,.28,846.76,6.9,131.84,162.97,152.69,176.1,158.29,ref,2012m3,1,677,33,1213307240705
ref,.27,.286,2012,4,1,13,49,.2653061224489796,138.6,.4420610189144014,10.1,1.4,5.3,5.2,.29,899.85,5,132.9,163.58,153.62,176.68,159.27,ref,2012m4,1,685,33,5127201565558
ref,.3,.286,2012,5,1,14,49,.2857142857142857,138.89,.2092352092352172,10.1,1.4,5.3,5.2,.27,899.85,5,133.42,164.3,154.65,177.48,160.65,ref,2012m5,1,642,31,4090019569472
ref,.31,.286,2012,6,1,15,49,.3061224489795918,139.09,.1439988480092183,10.1,1.4,5.3,5.2,.3,899.85,5,133.22,162.38,154.17,177.41,162.55,ref,2012m6,1,1046,51,174168297456
ref,.34,.286,2012,7,1,16,49,.3265306122448979,139.51,.3019627579265034,9.5,1,4.3,4,.31,855.27,5.7,133.96,163.46,156.54,179.82,163.7,ref,2012m7,1,768,37,573385518591
ref,.39,.286,2012,8,1,17,49,.3469387755102041,139.96,.3225575227582311,9.5,1,4.3,4,.34,855.27,5.7,134.33,161.85,155.05,182.44,168.27,ref,2012m8,1,435,21,2818003913894
ref,.33,.286,2012,9,1,18,49,.3673469387755102,140.56,.4286939125464357,9.5,1,4.3,4,.39,855.27,5.7,135.08,163.86,155.84,183.37,169.61,ref,2012m9,1,723,35,3718199608611
ref,.32,.286,2012,10,1,19,49,.3877551020408163,140.67,.078258394991451,9.1,-.1,3.5,3.8,.33,916.35,5.9,134.97,163.6,155.53,183.16,171.38,ref,2012m10,1,549,26,8590998043053
ref,.26,.286,2012,11,1,20,49,.4081632653061225,140.22,-.3198976327575025,9.1,-.1,3.5,3.8,.32,916.35,5.9,135.07,163.6,155.82,182.72,171.3,ref,2012m11,1,956,46,7710371819961
ref,.22,.286,2012,12,1,21,49,.4285714285714286,140.18,-.028526601055475,9.1,-.1,3.5,3.8,.26,916.35,5.9,135.26,162.21,153.58,183.06,171.29,ref,2012m12,1,1326,64,8727984344423
ref,.2,.286,2013,1,1,22,49,.4489795918367347,141.09,.649165358824348,10,1.2,3.6,3.9,.22,900.39,6.3,136.01,166.16,154.89,192.48,175.18,ref,2013m1,1,1012,49,5107632093933
ref,.23,.286,2013,2,1,23,49,.4693877551020408,142.03,.6662414061946294,10,1.2,3.6,3.9,.2,900.39,6.3,136.58,167.32,158.3,193.67,175.25,ref,2013m2,1,691,33,8062622309198
ref,.25,.286,2013,3,1,24,49,.4897959183673469,143.22,.8378511582060071,10,1.2,3.6,3.9,.23,900.39,6.3,137.99,171.28,162.97,194.44,176.1,ref,2013m3,1,650,31,8003913894325
ref,.25,.286,2013,4,1,25,49,.5102040816326531,143.35,.0907694456081458,8,-1.1,1,.8,.25,976.04,8.5,138.6,171.76,163.58,194.04,176.68,ref,2013m4,1,704,34,4422700587084
ref,.24,.286,2013,5,1,26,49,.5306122448979592,143.92,.3976281827694521,8,-1.1,1,.8,.25,976.04,8.5,138.89,172,164.3,192.81,177.48,ref,2013m5,1,712,34,8336594911937
ref,.24,.286,2013,6,1,27,49,.5510204081632653,144.73,.5628126737076116,8,-1.1,1,.8,.24,976.04,8.5,139.09,169.98,162.38,198.84,177.41,ref,2013m6,1,627,30,6751467710372
ref,.24,.286,2013,7,1,28,49,.5714285714285714,145.02,.2003731085469696,7.8,.5,.5,.3,.24,930.26,8.800000000000001,139.51,171.68,163.46,195.23,179.82,ref,2013m7,1,1300,63,600782778865
ref,.2,.286,2013,8,1,29,49,.5918367346938775,144.94,-.0551648048545133,7.8,.5,.5,.3,.24,930.26,8.800000000000001,139.96,170.64,161.85,197.57,182.44,ref,2013m8,1,359,17,5636007827789
ref,.21,.286,2013,9,1,30,49,.6122448979591837,144.21,-.50365668552503,7.8,.5,.5,.3,.2,930.26,8.800000000000001,140.56,171.63,163.86,198.99,183.37,ref,2013m9,1,541,26,46771037182
ref,.22,.286,2013,10,1,31,49,.6326530612244898,143.75,-.3189792663476965,8.699999999999999,.9,1.5,1.7,.21,986.29,7.6,140.67,170.94,163.6,198,183.16,ref,2013m10,1,842,41,1937377690802
ref,.18,.286,2013,11,1,32,49,.6530612244897959,143.1,-.452173913043481,8.699999999999999,.9,1.5,1.7,.22,986.29,7.6,140.22,171.62,163.6,196.24,182.72,ref,2013m11,1,1699,83,1213307240704
ref,.19,.286,2013,12,1,33,49,.673469387755102,143.05,-.0349406009783308,8.699999999999999,.9,1.5,1.7,.18,986.29,7.6,140.18,170.52,162.21,192.95,183.06,ref,2013m12,1,1074,52,5440313111546
ref,.24,.286,2014,1,1,34,49,.6938775510204082,143.31,.1817546312478129,8.5,.1,.5,.3,.19,966.2000000000001,7.3,141.09,174.86,166.16,193.43,192.48,ref,2014m1,1,623,30,4794520547945
ref,.21,.286,2014,2,1,35,49,.7142857142857143,143.64,.2302700439606298,8.5,.1,.5,.3,.24,966.2000000000001,7.3,142.03,177.41,167.32,191.73,193.67,ref,2014m2,1,624,30,5283757338552
ref,.24,.286,2014,3,1,36,49,.7346938775510205,144.23,.4107490949596127,8.5,.1,.5,.3,.21,966.2000000000001,7.3,143.22,178.07,171.28,191.31,194.44,ref,2014m3,1,997,48,7769080234834
ref,.25,.286,2014,4,1,37,49,.7551020408163265,144.5,.1872009984053307,7,.9,2.3,2,.24,1022.66,4.8,143.35,179.31,171.76,190.5,194.04,ref,2014m4,1,1836,89,8238747553816
ref,.29,.286,2014,5,1,38,49,.7755102040816326,144.83,.2283737024221466,7,.9,2.3,2,.25,1022.66,4.8,143.92,179.19,172,191.42,192.81,ref,2014m5,1,827,40,4598825831703
ref,.31,.286,2014,6,1,39,49,.7959183673469388,145.25,.289995166747218,7,.9,2.3,2,.29,1022.66,4.8,144.73,178.07,169.98,192.26,198.84,ref,2014m6,1,980,47,945205479452
ref,.31,.286,2014,7,1,40,49,.8163265306122449,145,-.1721170395869223,7.5,.4,2.4,2.2,.31,976.74,5,145.02,177.46,171.68,194.47,195.23,ref,2014m7,1,646,31,6046966731898
ref,.29,.286,2014,8,1,41,49,.8367346938775511,144.68,-.2206896551724071,7.5,.4,2.4,2.2,.31,976.74,5,144.94,177.01,170.64,193.8,197.57,ref,2014m8,1,360,17,6125244618395
ref,.27,.286,2014,9,1,42,49,.8571428571428571,144.52,-.1105888858169806,7.5,.4,2.4,2.2,.29,976.74,5,144.21,177.41,171.63,195.1,198.99,ref,2014m9,1,384,18,7866927592955
ref,.27,.286,2014,10,1,43,49,.8775510204081632,144.43,-.0622751176307901,6.3,,3,2.7,.27,,,143.75,178.49,170.94,194,198,ref,2014m10,1,537,26,2720156555773
ref,.29,.286,2014,11,1,44,49,.8979591836734694,143.12,-.9070137783009074,6.3,,3,2.7,.27,,,143.1,177.16,171.62,193.81,196.24,ref,2014m11,1,1053,51,5166340508806
